service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,events_and_status,operating_days,duty
27612,0,0,0,0,0,0,0,20260419,20260530,RVoff,muwtf,10-02
27613,0,0,0,0,0,0,0,20260419,20260530,RVoff,muwtf,PH6-01
27614,0,0,0,0,0,0,0,20260419,20260530,RVoff,muwtf,W-11
27615,1,1,1,1,1,0,0,20260419,20260530,RVon,muwtf,PH6-01
27616,1,1,1,1,1,0,0,20260419,20260530,RVon,muwtf,10-01
27617,1,1,1,1,1,0,0,20260419,20260530,RVon,muwtf,10-02
27618,1,1,1,1,1,0,0,20260419,20260530,RVon,muwtf,W-11
27489,0,0,0,0,0,1,0,20260301,20260418,,a,
27491,0,0,0,0,0,0,1,20260301,20260418,,s,
27492,0,0,0,0,0,0,0,20260301,20260418,,smuwtfa,
27493,0,0,0,0,0,0,1,20260301,20260418,PBon,s,
27503,1,0,0,0,0,0,0,20260301,20260418,RDon,m,7-04
27504,0,1,1,1,1,0,0,20260301,20260418,RDon,uwtf,7-04
27506,1,1,0,1,1,0,0,20260301,20260418,RFon,mutf,88A-01
27507,0,0,1,0,0,0,0,20260301,20260418,RFon,w,88A-01
27510,1,0,0,0,1,0,0,20260301,20260418,RGon,mf,54-07
27512,0,0,0,1,0,0,0,20260301,20260418,RGon,t,54-07
27513,0,1,0,0,0,0,0,20260301,20260418,RGon,u,54-07
27514,0,0,1,0,0,0,0,20260301,20260418,RGon,w,54-07
27522,1,1,0,1,1,0,0,20260301,20260418,RNon,mutf,W-05
27523,0,0,1,0,0,0,0,20260301,20260418,RNon,w,W-05
27525,1,0,1,0,1,0,0,20260301,20260418,ROon,mwf,40-08
27526,0,1,0,1,0,0,0,20260301,20260418,ROon,ut,40-08
27529,1,0,1,0,1,0,0,20260301,20260418,RQon,mwf,60-04
27530,1,0,1,0,1,0,0,20260301,20260418,RQon,mwf,60-23
27531,0,1,0,1,0,0,0,20260301,20260418,RQon,ut,60-04
27532,0,1,0,1,0,0,0,20260301,20260418,RQon,ut,60-23
27534,1,0,0,0,1,0,0,20260301,20260418,RRon,mf,123-02
27535,0,1,1,1,0,0,0,20260301,20260418,RRon,uwt,123-02
27540,1,1,0,1,1,0,0,20260301,20260418,RUon,mutf,E-02
27541,1,1,0,1,1,0,0,20260301,20260418,RUon,mutf,E-01
27544,0,0,1,0,0,0,0,20260301,20260418,RUon,w,E-01
27545,0,0,1,0,0,0,0,20260301,20260418,RUon,w,E-02
27554,0,0,0,0,0,1,0,20260419,20260530,,a,
27556,0,0,0,0,0,0,1,20260419,20260530,,s,
27557,0,0,0,0,0,0,0,20260419,20260530,,smuwtfa,
27558,0,0,0,0,0,0,1,20260419,20260530,PBon,s,
27568,1,0,0,0,0,0,0,20260419,20260530,RDon,m,7-04
27569,0,1,1,1,1,0,0,20260419,20260530,RDon,uwtf,7-04
27571,1,1,0,1,1,0,0,20260419,20260530,RFon,mutf,88A-01
27572,0,0,1,0,0,0,0,20260419,20260530,RFon,w,88A-01
27575,1,0,0,0,1,0,0,20260419,20260530,RGon,mf,54-07
27577,0,0,0,1,0,0,0,20260419,20260530,RGon,t,54-07
27578,0,1,0,0,0,0,0,20260419,20260530,RGon,u,54-07
27579,0,0,1,0,0,0,0,20260419,20260530,RGon,w,54-07
27587,1,1,0,1,1,0,0,20260419,20260530,RNon,mutf,W-05
27588,0,0,1,0,0,0,0,20260419,20260530,RNon,w,W-05
